loc_rowid,pl_name,hostname,sy_snum,sy_pnum,discoverymethod,disc_year,pl_orbper,pl_bmasse,pl_bmassj,pl_orbeccen,st_mass,st_logg,sy_dist
18913,Kepler-226 b,Kepler-226,1,3,Transit,2014,3.94104632,,,0.0,0.88,4.57,980.138
18925,Kepler-226 c,Kepler-226,1,3,Transit,2014,5.34955382,,,,0.92,4.51,980.138
18935,Kepler-226 d,Kepler-226,1,3,Transit,2014,8.10904807,,,0.0,0.83,4.44,980.138
18946,Kepler-227 b,Kepler-227,1,2,Transit,2014,9.48803146,,,,0.96,4.48,1083.06
18957,Kepler-227 c,Kepler-227,1,2,Transit,2014,54.418464,,,,0.96,4.48,1083.06
18967,Kepler-228 b,Kepler-228,1,3,Transit,2014,2.56658897,,,0.0,1.05,4.49,1644.61
18978,Kepler-228 c,Kepler-228,1,3,Transit,2014,4.134403,,,0.0,1.04,4.51,1644.61
18989,Kepler-228 d,Kepler-228,1,3,Transit,2014,11.09431923,,,0.0,1.05,4.49,1644.61
19000,Kepler-229 b,Kepler-229,1,3,Transit,2014,6.2529649,,,0.0,0.83,4.61,826.265
19011,Kepler-229 c,Kepler-229,1,3,Transit,2014,,,,,,,826.265
19021,Kepler-229 d,Kepler-229,1,3,Transit,2014,41.1970874,,,,0.8,4.59,826.265
19034,Kepler-23 b,Kepler-23,1,3,Transit,2011,7.10694385,,,0.0,1.08,4.09,835.756
19046,Kepler-23 c,Kepler-23,1,3,Transit,2011,10.7421,858.1,2.7,,1.11,4.0,835.756
19059,Kepler-23 d,Kepler-23,1,3,Transit,2014,15.27438229,,,,1.1,4.09,835.756
19069,Kepler-230 b,Kepler-230,1,2,Transit,2014,32.62882975,,,0.0,0.85,4.56,740.754
19080,Kepler-230 c,Kepler-230,1,2,Transit,2014,91.77221,,,0.0,0.85,4.56,740.754
19094,Kepler-231 b,Kepler-231,1,2,Transit,2014,10.06524317,,,0.0,0.58,4.7,316.618
19108,Kepler-231 c,Kepler-231,1,2,Transit,2014,19.27147,,,0.0,0.58,4.72,316.618
19119,Kepler-232 b,Kepler-232,1,2,Transit,2014,4.43123554,,,,0.98,4.32,1349.13
19130,Kepler-232 c,Kepler-232,1,2,Transit,2014,11.37938071,,,0.0,1.05,4.52,1349.13
19141,Kepler-233 b,Kepler-233,1,2,Transit,2014,8.472396,,,0.0,0.85,4.62,856.417
19152,Kepler-233 c,Kepler-233,1,2,Transit,2014,60.4186137,,,0.0,0.88,4.59,856.417
19163,Kepler-234 b,Kepler-234,1,2,Transit,2014,2.71150258,,,0.0,1.15,4.44,1733.1
19174,Kepler-234 c,Kepler-234,1,2,Transit,2014,7.21196017,,,,1.08,4.28,1733.1
19189,Kepler-235 b,Kepler-235,1,4,Transit,2014,3.34021921,,,,0.64,4.64,428.018
19202,Kepler-235 c,Kepler-235,1,4,Transit,2014,7.82501206,,,0.0,0.51,4.78,428.018
19217,Kepler-235 d,Kepler-235,1,4,Transit,2014,20.06055885,,,,0.64,4.64,428.018
19232,Kepler-235 e,Kepler-235,1,4,Transit,2014,,,,,,,428.018
19244,Kepler-236 b,Kepler-236,1,2,Transit,2014,,,,,0.59,,288.763
